"strategy","algorithm","metric","estimate","ci_low","ci_high"
"downsample","glmBoost","ROC AUC",0.99875548245614,0.992598684210526,1
"downsample","glmBoost","PR AUC",0.999932027617416,0.999621230141069,1
"downsample","glmBoost","Balanced accuracy",0.983684210526316,0.962088815789474,0.996710526315789
"downsample","glmBoost","MCC",0.791599844548322,0.628280862437543,0.942776401523856
"downsample","glmBoost","Brier score",0.0268366482094331,0.0120180524259399,0.0527392494167177
"unweighted","glmBoost","ROC AUC",0.999797149122807,0.998355263157895,1
"unweighted","glmBoost","PR AUC",0.999988771779317,0.999913433654095,1
"unweighted","glmBoost","Balanced accuracy",0.95187865497076,0.833333333333333,1
"unweighted","glmBoost","MCC",0.945581381508897,0.808556393123086,1
"unweighted","glmBoost","Brier score",0.00721049871553544,0.0026423935149171,0.0125708040654945
"weighted","glmBoost","ROC AUC",0.999670138888889,0.997663103070176,1
"weighted","glmBoost","PR AUC",0.999982030090649,0.999872253003179,1
"weighted","glmBoost","Balanced accuracy",0.986907894736842,0.970394736842105,1
"weighted","glmBoost","MCC",0.823208501984971,0.675102412166186,1
"weighted","glmBoost","Brier score",0.0439196295014769,0.0140590517823546,0.0783933451071103
"downsample","LASSO","ROC AUC",0.998371710526316,0.99226288377193,1
"downsample","LASSO","PR AUC",0.999911323418441,0.999569312852279,1
"downsample","LASSO","Balanced accuracy",0.982434210526316,0.957072368421053,1
"downsample","LASSO","MCC",0.786893858471195,0.635920247316493,1
"downsample","LASSO","Brier score",0.0575638878026339,0.0152256933457209,0.0865980853040338
"unweighted","LASSO","ROC AUC",0.999728618421053,0.998355263157895,1
"unweighted","LASSO","PR AUC",0.999985359680113,0.999913835912017,1
"unweighted","LASSO","Balanced accuracy",0.930084064327485,0.777777777777778,1
"unweighted","LASSO","MCC",0.916315083345692,0.735738092877174,1
"unweighted","LASSO","Brier score",0.00548015484051707,0.000290767328040859,0.0148360023866628
"weighted","LASSO","ROC AUC",0.999566885964912,0.996710526315789,1
"weighted","LASSO","PR AUC",0.999976466308009,0.9998297482823,1
"weighted","LASSO","Balanced accuracy",0.994309210526316,0.981825657894737,1
"weighted","LASSO","MCC",0.927570594276375,0.805681579172283,1
"weighted","LASSO","Brier score",0.0103273643359179,0.000262213987089125,0.0591673903342029
"downsample","Ranger","ROC AUC",0.999335709064327,0.995614035087719,1
"downsample","Ranger","PR AUC",0.999962712745136,0.999740691337691,1
"downsample","Ranger","Balanced accuracy",0.986648391812865,0.966940789473684,1
"downsample","Ranger","MCC",0.832257265290107,0.685717349636513,1
"downsample","Ranger","Brier score",0.0205272009149845,0.008834929375,0.0385075063043478
"unweighted","Ranger","ROC AUC",0.99929961622807,0.996518640350877,1
"unweighted","Ranger","PR AUC",0.999961000800747,0.999803359241892,1
"unweighted","Ranger","Balanced accuracy",0.962733918128655,0.873273026315789,1
"unweighted","Ranger","MCC",0.94079762491797,0.811760729697832,1
"unweighted","Ranger","Brier score",0.00499506025031746,0.000757594109782608,0.0114820457380812
"weighted","Ranger","ROC AUC",0.999821820175439,0.998355263157895,1
"weighted","Ranger","PR AUC",0.999990088602018,0.999913433654095,1
"weighted","Ranger","Balanced accuracy",0.975599415204678,0.881597222222222,1
"weighted","Ranger","MCC",0.959869298665354,0.836682451939122,1
"weighted","Ranger","Brier score",0.00332467997310085,0.000605667472826087,0.00818958729999999
"downsample","XGBoost","ROC AUC",0.99672240497076,0.986842105263158,1
"downsample","XGBoost","PR AUC",0.999819597689389,0.999277627372529,1
"downsample","XGBoost","Balanced accuracy",0.968943713450292,0.921052631578947,0.995148026315789
"downsample","XGBoost","MCC",0.732825027184993,0.519747190216889,0.920161490844593
"downsample","XGBoost","Brier score",0.0352986647109326,0.0123671854185792,0.074411804038392
"unweighted","XGBoost","ROC AUC",0.999078033625731,0.993539839181286,1
"unweighted","XGBoost","PR AUC",0.999947990545845,0.999613513508632,1
"unweighted","XGBoost","Balanced accuracy",0.964959795321637,0.875,1
"unweighted","XGBoost","MCC",0.942564445184815,0.86038348441828,1
"unweighted","XGBoost","Brier score",0.00518909582817695,0.000277474426844518,0.0149282246120966
"weighted","XGBoost","ROC AUC",0.99922149122807,0.993811677631579,1
"weighted","XGBoost","PR AUC",0.999956330443472,0.999650476071738,1
"weighted","XGBoost","Balanced accuracy",0.979923245614035,0.885599415204678,1
"weighted","XGBoost","MCC",0.94948505530305,0.815268920148651,1
"weighted","XGBoost","Brier score",0.00535281159246234,0.000129969710775583,0.0169160824766907
